college,year,ethnic_importance,ethnic_cat,num_firstyears,num_allstudents
Amherst,2005,,international,29,110
Amherst,2005,,black_nonhispanic,41,151
Amherst,2005,,native_am_al,1,4
Amherst,2005,,asian_pac_isl,45,209
Amherst,2005,,hispanic,24,103
Amherst,2005,,white_nonhispanic,193,720
Amherst,2005,,unknown,98,315
Amherst,2005,,total,431,1612
Amherst,2006,,international,26,117
Amherst,2006,,black_nonhispanic,45,152
Amherst,2006,,native_am_al,0,6
Amherst,2006,,asian_pac_isl,45,208
Amherst,2006,,hispanic,51,122
Amherst,2006,,white_nonhispanic,202,744
Amherst,2006,,unknown,64,299
Amherst,2006,,total,433,1648
Amherst,2007,,international,37,120
Amherst,2007,,black_nonhispanic,49,160
Amherst,2007,,native_am_al,2,6
Amherst,2007,,asian_pac_isl,47,196
Amherst,2007,,hispanic,55,152
Amherst,2007,,white_nonhispanic,190,734
Amherst,2007,,unknown,94,315
Amherst,2007,,total,474,1683
Amherst,2008,,international,39,123
Amherst,2008,,black_nonhispanic,48,173
Amherst,2008,,native_am_al,0,3
Amherst,2008,,asian_pac_isl,47,172
Amherst,2008,,hispanic,46,160
Amherst,2008,,white_nonhispanic,163,708
Amherst,2008,,unknown,96,358
Amherst,2008,,total,439,1697
Amherst,2009,,international,46,142
Amherst,2009,,black_nonhispanic,55,189
Amherst,2009,,native_am_al,0,2
Amherst,2009,,asian_pac_isl,47,183
Amherst,2009,,hispanic,45,189
Amherst,2009,,white_nonhispanic,161,679
Amherst,2009,,unknown,113,360
Amherst,2009,,total,467,1744
Amherst,2010,,international,44,163
Amherst,2010,,hispanic,57,198
Amherst,2010,,black,61,203
Amherst,2010,,white,206,694
Amherst,2010,,native_am_al,0,2
Amherst,2010,,asian,53,183
Amherst,2010,,hawaiian_pac_isl,0,0
Amherst,2010,,two_or_more,36,122
Amherst,2010,,unknown,33,229
Amherst,2010,,total,490,1794
Amherst,2011,,international,36,174
Amherst,2011,,hispanic,63,204
Amherst,2011,,black,57,208
Amherst,2011,,white,201,709
Amherst,2011,,native_am_al,0,0
Amherst,2011,,asian,50,196
Amherst,2011,,hawaiian_pac_isl,0,0
Amherst,2011,,two_or_more,26,107
Amherst,2011,,unknown,28,193
Amherst,2011,,total,461,1791
Amherst,2012,,international,48,178
Amherst,2012,,hispanic,46,212
Amherst,2012,,black,48,204
Amherst,2012,,white,188,729
Amherst,2012,,native_am_al,2,2
Amherst,2012,,asian,67,214
Amherst,2012,,hawaiian_pac_isl,0,0
Amherst,2012,,two_or_more,32,117
Amherst,2012,,unknown,32,161
Amherst,2012,,total,463,1817
Amherst,2013,considered,international,44,171
Amherst,2013,considered,hispanic,63,229
Amherst,2013,considered,black,57,208
Amherst,2013,considered,white,197,745
Amherst,2013,considered,native_am_al,0,2
Amherst,2013,considered,asian,61,224
Amherst,2013,considered,hawaiian_pac_isl,0,0
Amherst,2013,considered,two_or_more,26,100
Amherst,2013,considered,unknown,18,106
Amherst,2013,considered,total,466,1785
Amherst,2014,considered,international,48,172
Amherst,2014,considered,hispanic,62,235
Amherst,2014,considered,black,59,222
Amherst,2014,considered,white,195,751
Amherst,2014,considered,native_am_al,5,6
Amherst,2014,considered,asian,65,234
Amherst,2014,considered,hawaiian_pac_isl,1,1
Amherst,2014,considered,two_or_more,17,81
Amherst,2014,considered,unknown,17,90
Amherst,2014,considered,total,469,1792
Amherst,2015,considered,international,43,173
Amherst,2015,considered,hispanic,65,241
Amherst,2015,considered,black,50,210
Amherst,2015,considered,white,215,756
Amherst,2015,considered,native_am_al,1,8
Amherst,2015,considered,asian,67,244
Amherst,2015,considered,hawaiian_pac_isl,0,1
Amherst,2015,considered,two_or_more,27,89
Amherst,2015,considered,unknown,9,73
Amherst,2015,considered,total,477,1795
Bates,2005,considered,international,21,91
Bates,2005,considered,black_nonhispanic,11,44
Bates,2005,considered,native_am_al,1,7
Bates,2005,considered,asian_pac_isl,23,74
